date,asset,fund_bybit,fund_okx,fund_deribit,fund_hl,fund_mean,cefdi,n_venues,oi_total_usd,oi_chg_pct,ofpr
2026-06-05,BTC,-2.631285,4.01347253682735,-4.790894149323931,,-1.1362355374988604,4.588637908742237,3,,,
2026-06-05,ETH,-1.41912,3.3343167802944005,-2.053059764488048,,-0.04595432806454921,2.944510906883259,3,,,
2026-06-06,BTC,3.03753,-2.7523262407167,-0.0916833375405618,,0.06450680724757936,2.8980864968178977,3,,,
2026-06-06,ETH,-1.75419,-12.2386884880581,-2.935664592332677,,-5.642847693463592,5.742630703241307,3,,,
2026-06-07,BTC,-4.53111,-1.3914441212655,-0.18512844378542145,,-2.035894188350307,2.243518628953977,3,,,
2026-06-07,ETH,-5.839635,-12.062842671074101,-13.190566813859439,,-10.364348161644514,3.9588776606412766,3,,,
2026-06-08,BTC,0.9187049999999999,6.0430472583415495,-0.031782078242501524,,2.309990060033016,3.2676663623844555,3,,,
2026-06-08,ETH,-6.679499999999999,-2.7764676072214503,-11.2247911041034,,-6.893586237108283,4.22822860837506,3,,,
2026-06-09,BTC,1.80018,-1.3708546232661,1.3033894280967224,,0.5775716016102074,1.705571394994153,3,,,
2026-06-09,ETH,-10.550324999999999,-16.5049457578275,-0.003614474231368447,,-9.01962841068629,8.356479974794983,3,,,
2026-06-10,BTC,4.9012199999999995,5.21378182586385,0.37689137217181595,,3.4972977326785553,2.7068663828798463,3,,,
2026-06-10,ETH,2.050935,1.0559131339633498,0.0020904822482407156,,1.0363128720705301,1.0245628785877712,3,,,
2026-06-11,BTC,-0.890235,-4.7591536804017,1.3536831254678925,,-1.4319018516446025,3.0922072516935897,3,,,
2026-06-11,ETH,-4.5157799999999995,-6.886144561652699,0.05479113229742753,,-3.7823778097850904,3.528109430891671,3,,,
2026-06-12,BTC,9.422475,-0.54232250752515,0.05195353454955623,,2.977368675674802,5.589529287197491,3,,,
2026-06-12,ETH,4.567245,-5.0714318858151,-0.026763926407145033,,-0.17698360407408173,4.821094013909637,3,,,
2026-06-13,BTC,3.1536,0.9980764287288,0.013379351782073634,,1.388351926836958,1.606076789319624,3,,,
2026-06-13,ETH,-0.73146,-1.5282052733271,-0.000502819992126208,,-0.7533893644397421,0.764087278555253,3,,,
2026-06-14,BTC,0.5256,-3.4266956264669997,0.19112522107607985,,-0.90332346846364,2.1916942374049238,3,,,
2026-06-14,ETH,1.089525,0.44174111809995004,0.47804133889462963,,0.6697691523315266,0.36397205283695155,3,,,
2026-06-15,BTC,2.39367,-6.38889240611355,0.0,,-1.33174080203785,4.540209331867758,3,,,
2026-06-15,ETH,6.470355,-1.62229426462485,0.0,,1.6160202451250498,4.281516565955199,3,,,
2026-06-16,BTC,3.029865,-1.4344402304209498,1.8330700155045287,,1.1428315950278596,2.310806591953891,3,,,
2026-06-16,ETH,3.3594599999999994,1.61814212291205,1.7944955580219766,,2.257365893644675,0.9585059717947109,3,,,
2026-06-17,BTC,5.977605,3.9413751334210505,0.0004358882776876493,,3.306472007232913,3.038743841172603,3,,,
2026-06-17,ETH,10.826265,3.3848420280366005,0.16527612349147622,,4.792127717176025,5.468044505524995,3,,,
2026-06-18,BTC,-0.35806499999999997,0.5471209865112,-0.04765950378929604,,0.04713216090730133,0.4599777302392233,3,,,
2026-06-18,ETH,1.00521,3.87832946482035,-1.895542006534896e-05,,1.6278401698000948,2.012746348513469,3,,,
2026-06-19,BTC,-5.13555,0.14723485895895,-0.002138329108342067,,-1.6634844900497974,3.00782434100924,3,,,
2026-06-19,ETH,8.22345,1.7117336846397002,-0.07611993456462918,,3.286354583358357,4.368098957864101,3,,,
